USER         LWP    PPID NLWP
mario       1841    1427    4
mario       1873    1427    4
mario       1814    1427    3
mario       1822    1427    3
mario       1846    1427    3
mario       1815    1427    3
mario       1826    1427    3
mario       1875    1427    3
mario       1818    1427    3
mario       1842    1427    3
mario       1874    1427    3
mario       1820    1427    4
mario       1821    1427    4
mario       1824    1427    4
mario       1857    1427    4
mario       1840    1427    4
mario       1851    1427    4
mario       1878    1427    4
mario       1904    1427    4
mario       1847    1427    4
mario       1863    1427    4
mario       1881    1427    4
mario       1903    1427    4
mario       1849    1427    4
mario       1868    1427    4
mario       1871    1427    4
mario       1880    1427    4
mario       1850    1616    3
mario       1854    1616    3
mario       1883    1616    3
mario       1870    1616    6
mario       1937    1616    6
mario       1939    1616    6
mario       1940    1616    6
mario       2008    1616    6
mario       2012    1616    6
mario       1889    1805    4
mario       1892    1805    4
mario       1896    1805    4
mario       1909    1805    4
mario       1890    1805    4
mario       1917    1805    4
mario       1920    1805    4
mario       1921    1805    4
mario       1894    1427    3
mario       1911    1427    3
mario       1918    1427    3
mario       1955    1427    3
mario       1956    1427    3
mario       1957    1427    3
mario       1966    1805    3
mario       1967    1805    3
mario       1968    1805    3
mario       1973    1427    6
mario       1974    1427    6
mario       1975    1427    6
mario       2027    1427    6
mario       2090    1427    6
mario       2103    1427    6
mario       1995    1427    7
mario       1997    1427    7
mario       1998    1427    7
mario       1999    1427    7
mario       2000    1427    7
mario       2001    1427    7
mario       2002    1427    7
mario       2028    1427    4
mario       2029    1427    4
mario       2031    1427    4
mario       2032    1427    4
mario       2033    1427    1
mario       2124    2033    4
mario       2125    2033    4
mario       2126    2033    4
mario       2127    2033    4
mario       2172    1427    3
mario       2173    1427    3
mario       2174    1427    3
mario       2204    1449    3
mario       2205    1449    3
mario       2206    1449    3
mario       2228    1642   30
mario       2230    1642   30
mario       2236    1642   30
mario       2237    1642   30
mario       2240    1642   30
mario       2241    1642   30
mario       2242    1642   30
mario       2243    1642   30
mario       2244    1642   30
mario       2245    1642   30
mario       2246    1642   30
mario       2294    1642   30
mario       2295    1642   30
mario       2296    1642   30
mario       2298    1642   30
mario       2299    1642   30
mario       2300    1642   30
mario       2302    1642   30
mario       2305    1642   30
mario       2307    1642   30
mario       2309    1642   30
mario       2310    1642   30
mario       2319    1642   30
mario       2330    1642   30
mario       2335    1642   30
mario       2336    1642   30
mario       2337    1642   30
mario       2338    1642   30
mario      24666    1642   30
mario      43699    1642   30
mario       2232    2228    1
mario       2233    2228    1
mario       2235    2233    1
mario       2249    1427    3
mario       2250    1427    3
mario       2251    1427    3
mario       2252    1642    6
mario       2257    1642    6
mario       2258    1642    6
mario       2259    1642    6
mario       2260    1642    6
mario       2261    1642    6
mario       2265    1427    8
mario       2267    1427    8
mario       2268    1427    8
mario       2269    1427    8
mario       2270    1427    8
mario       2271    1427    8
mario       2272    1427    8
mario       2273    1427    8
mario       2289    1427    3
mario       2291    1427    3
mario       2292    1427    3
mario       2306    2232   19
mario       2312    2232   19
mario       2313    2232   19
mario       2314    2232   19
mario       2315    2232   19
mario       2317    2232   19
mario       2327    2232   19
mario       2328    2232   19
mario       2329    2232   19
mario       2332    2232   19
mario       2333    2232   19
mario       2339    2232   19
mario       2340    2232   19
mario       2341    2232   19
mario       2342    2232   19
mario       2355    2232   19
mario       2356    2232   19
mario      27842    2232   19
mario      43603    2232   19
mario       2316    2228    6
mario       2320    2228    6
mario       2322    2228    6
mario       2324    2228    6
mario      22503    2228    6
mario      43602    2228    6
mario       2361    2228   36
mario       2362    2228   36
mario       2364    2228   36
mario       2366    2228   36
mario       2370    2228   36
mario       2371    2228   36
mario       2372    2228   36
mario       2373    2228   36
mario       2374    2228   36
