    PID USER     S %CPU %MEM
   8078 mario    S  0.0  0.3
   8209 mario    S  0.0  1.1
   8514 mario    S  2.1  1.6
   8553 mario    S  0.4  4.9
   8565 mario    S  0.1  1.5
   9464 mario    S  0.0  0.7
   9594 mario    S  0.0  0.4
   9691 mario    S  0.0  0.9
   9787 mario    S  0.0  0.5
   9789 mario    S  0.0  0.4
  11822 mario    S  3.8  2.4
  17414 root     S  0.0  0.3
  20767 root     S  0.0  0.0
  21168 mario    S  0.0  0.0
  25699 mario    S  0.0  1.5
  25976 mario    S  3.6  4.8
  27754 root     I  0.1  0.0
  28921 mario    S  2.0  2.3
  31906 mario    S  0.3  0.6
  31924 mario    S  0.0  0.0
  32310 mario    R 26.8 13.6
  32312 mario    R  0.7  0.7
  35639 root     I  0.1  0.0
  35795 mario    S  2.9  4.1
  38714 root     I  0.1  0.0
  38817 root     I  0.0  0.0
  40402 root     I  0.0  0.0
  40778 root     I  0.0  0.0
  40808 mario    S  1.3  1.8
  40851 mario    S  0.8  2.1
  40899 root     I  0.2  0.0
  40925 mario    S  0.0  0.7
  41451 root     I  0.0  0.0
  41485 root     I  0.0  0.0
  41512 mario    S  0.0  0.7
  41682 mario    S  0.0  0.7
  42218 root     I  0.6  0.0
  42225 mario    S  9.3  2.0
  42360 root     I  0.0  0.0
  42404 root     I  0.1  0.0
  42872 root     I  0.0  0.0
  42873 root     I  0.0  0.0
  42874 root     I  0.0  0.0
  43758 mario    S  0.0  0.0
  43759 mario    R  0.0  0.0
  43760 mario    S  0.0  0.0
